sku,name,category,function,relatives,designer,image,gridorder,neworder
ARN3616,Aubrey Table Lamp,Table > Decorative,,aubrey,AERIN,,373.0000,,
ARN3620,Hunlen Table Lamp,Table > Decorative,Decorative,hunlen,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3620shgl_5.png,386.0000,,
ARN5124,Bonnington Chandelier,Ceiling > Chandelier,Chandelier,bonnington,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5124habcg_5.png,1253.0000,,
ARN5130,Inglis Pendant,Ceiling > Pendant,,inglis,AERIN,,3044.0000,,
ARN5203,O'Connor Large Chandelier,Ceiling > Chandelier,Chandelier,O'Conner,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5203habalb_5.png,1804.0000,,
ARN5210,Edgerly Large Woven Lantern,Ceiling > Lantern,Lantern,edgerly,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5210gl_5.png,2166.0000,,
BBL2012,Plank Sconce,Wall > Decorative,Decorative,plank,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2012dwl_5.png,4444.0000,,
BBL2080,Go Lightly Sconce,Wall > Decorative,Decorative,go lightly,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2080gs_9.png,3771.0000,,
BBL2090,Urbane Sconce,Wall > Bath,Bath,Urbane,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2090pnfg_5.png,5109.0000,,
BBL2094,Sumo Sconce,Wall > Bath,,Sumo,Barbara Barry,,5362.0000,,
BBL2105,Acme Sconce,Wall > Bath,Bath,Acme,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2105bzwg_5.png,5105.0000,,
BBL2110,Framework Sconce,Wall > Decorative,Decorative,framework,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2110pns_12.png,4441.0000,,
BBL3050,Silhouette Straight Table Lamp,Table > Decorative,Decorative,Silhouette2,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3050gys_9.png,270.0000,,
